Publisher	Series	Title	ERF Level	New GSL 95%[Types Needed]	New GSL 98%[Types Needed]	NGSL 95%[Types Needed]	NGSL 98%[Types Needed]	SEWK-J 95%[Types Needed]	SEWK-J 98%[Types Needed]	BNC/COCA 95%[Types Needed]	BNC/COCA 98%[Types Needed]
Abax
	Global Issues Narratives
		Wild Animal Town	4	Off-List[20]	Off-List[64]	Off-List[3]	Off-List[31]	"3,252"	"9,625"	2	10
		Wild Animal Trackers	3	Off-List[5]	Off-List[23]	"2,726"	Off-List[7]	"7,564"	"41,837"	3	33
		Wind Power	3	Off-List[1]	Off-List[17]	Off-List[1]	Off-List[6]	"8,073"	"11,548"	3	6
		Young Riders of Mongolia The	2	Off-List[6]	Off-List[22]	Off-List[1]	Off-List[9]	"3,278"	"30,080"	2	9
		Zoo Dentists	4	Off-List[10]	Off-List[44]	Off-List[2]	Off-List[14]	"6,457"	"15,266"	3	5
	Foundations Reading Library
		Bad Dog? Good Dog!	1	1778	2441	924	"1,867"	"24,894"	"24,894"	17	17
		Bear's Mouth The 	1	Off-List[1]	Off-List[7]	"2,194"	"2,587"	"10,610"	"12,323"	2	2
		Big Test The 	1	1983	Off-List[5]	988	"1,419"	"12,323"	"13,130"	1	1
		Boys vs. Girls	1	Off-List[3]	Off-List[11]	"2,082"	Off-List[2]	"5,613"	"11,210"	1	2
